YANN;M
ISABELLE;F
MICHEL;M
EVELYNE;F
ALICIA;F
MARGOT;F
ANNETTE;F
MICHELLE;F
MICHÈLE;F
EMMA;F
LOUISE;F
JEANNINE;F
DAVID;M
CATHERINE;F
SOPHIE;F
FRANÇOIS;M
FRANÇOISE;F
ANAÏS;F
ROSE;F
ALINE;F
ELISABETH;F
ANTOINE;M
VANESSA;F
BRIGITTE;F
ANDRÉE;F
CLAUDIE;F
EVELYNE;F
JOHANNA;F
SANDRA;F
BRIGITTE;F
BERNADETTE;F
MIREILLE;F
LAURE;F
ANNE;F
ANNE-SOPHIE;F
CHRISTIANE;F
CATHY;F
ELODIE;F
BRIGITTE;F
MICHELINE;F
MARTINE;F
JACQUELINE;F
LAURIE;F
LIONEL;M
ARTHUR;M
ANNICK;F
ANNIE;F
ELISE;F
MAELYS;F
NATHALIE;F
CAMILLE;F
NADEGE;F
STÉPHANIE;F
AURORE;F
PATRICIA;F
MURIEL;F
GHISLAINE;F
RAYMONDE;F
SYLVIE;F
CORINNE;F
LAURENT;M
JULIE;F
MARCELLE;F
MICHÈLE;F
PHILIPPE;M
ANAÏS;F
CHRISTINE;F
ELENA;F
COLETTE;F
TIFFANY;F
CAROLE;F
LAETITIA;F
NATHALIE;F
CLARA;F
JOSETTE;F
AMÉLIE;F
ANNIE;F
ETHAN;M
CATHY;F
ARLETTE;F
JOCELYNE;F
AURÉLIE;F
CARINE;F
VIRGINIE;F
JEAN;M
AMBRE;F
BERNARD;M
IRÈNE;F
MANON;F
MICHÈLE;F
MARIE;F
MARIE-CLAIRE;F
LOUISE;F
MICHÈLE;F
ANAÏS;F
HÉLÈNE;F
FABIENNE;F
CARINE;F
ANNICK;F
MARYLENE;F
ISABELLE;F
GISÈLE;F
SIMONE;F
FRANÇOISE;F
MARIE-PAULE;F
FRÉDÉRIQUE;F
JEAN;M
MANON;F
ELIANE;F
FRANÇOISE;F
JULIEN;M
FRANCINE;F
ELOISE;F
LAURE;F
CATHERINE;F
FRANÇOISE;F
MARIE;F
ANNE;F
VIRGINIE;F
CHLOÉ;F
LAURENT;M
CHRISTÈLE;F
MARTINE;F
MARYSE;F
ANNIE;F
PATRICIA;F
ANNE;F
MURIEL;F
DANIELLE;F
SARAH;F
JOËLLE;F
FABIENNE;F
VÉRONIQUE;F
SANDRA;F
NICOLE;F
JACQUELINE;F
NATHALIE;F
ROMANE;F
CORINNE;F
CLAUDINE;F
MANON;F
JEANINE;F
MARIE-LAURE;F
DOROTHEE;F
JEANNINE;F
CATHERINE;F
SANDRINE;F
KARINE;F
MARIE-HÉLÈNE;F
ISABELLE;F
